,ratio,index,dataset,time [hrs],rmse,r2
1087,0.3,22.0,Sobol2,0.7329555442598131,113.45240747219864,-0.4699036343323111
1088,0.3,23.0,Grid1296,0.03132925358083513,244.12695227431755,-4.848625700859731
1089,0.3,23.0,Grid2401,0.31628693653477563,368.53054250544943,-11.783400920832301
1090,0.3,23.0,Sobol1,0.4614765330817964,21.506993240768075,0.9484755063797223
1091,0.3,23.0,Sobol2,0.5095989790227679,27.299141891997262,0.9159979725994348
1092,0.3,24.0,Grid1296,0.05543749292691549,222.25869855668194,-3.8342028260005945
1093,0.3,24.0,Grid2401,0.29616910258928936,383.83457477036785,-12.765080291646408
1094,0.3,24.0,Sobol1,0.5065830020109813,20.802973647480943,0.952247431262677
1095,0.3,24.0,Sobol2,0.5232390576601028,20.816227369029058,0.9522184118685371
1096,0.3,25.0,Grid1296,0.12302517890930176,212.5197238776953,-3.4597310225932922
1097,0.3,25.0,Grid2401,0.3897151400645574,384.59432746560094,-12.781862635838083
1098,0.3,25.0,Sobol1,1.4807127590974172,21.73933961066846,0.9466766241371415
1099,0.3,25.0,Sobol2,1.285470682448811,25.333842368004113,0.9277194138010914
1100,0.3,26.0,Grid1296,0.06583384348286522,250.20938498915345,-5.153384649529424
1101,0.3,26.0,Grid2401,0.3338329866197374,406.99544691531185,-14.631611471651137
1102,0.3,26.0,Sobol1,0.6119027768903308,20.23836027759299,0.9533224596679769
1103,0.3,26.0,Sobol2,0.6098473311132855,20.401798033523967,0.9530710007342215
1104,0.3,27.0,Grid1296,0.12033540123038822,214.47636772047994,-3.5235957550898958
1105,0.3,27.0,Grid2401,0.32046114292409683,397.5915234756861,-13.945166374812919
1106,0.3,27.0,Sobol1,2.0927100971009995,21.780252131869286,0.9465089120179073
1107,0.3,27.0,Sobol2,1.6061466175317765,22.51271868613909,0.9429599305137981
1108,0.3,28.0,Grid1296,0.08632281998793284,226.9978417959261,-4.062422899943294
1109,0.3,28.0,Grid2401,0.24962258054150474,412.54534129310167,-15.031791190012402
1110,0.3,28.0,Sobol1,1.0273329812950558,21.45436483078263,0.9474848777432668
1111,0.3,28.0,Sobol2,0.9004777352677451,21.850984595792596,0.9468170898802478
1112,0.3,29.0,Grid1296,0.14389816217952303,231.58502097939197,-4.296253818710588
1113,0.3,29.0,Grid2401,0.3392147473494212,416.1121546713714,-15.372154236848377
1114,0.3,29.0,Sobol1,1.769116573267513,21.66320440813067,0.9466970227787131
1115,0.3,29.0,Sobol2,1.5242803571621577,30.274191656054477,0.895575667142618
1116,0.3,30.0,Grid1296,0.07142969926198324,217.6939498753384,-3.6419653013218367
1117,0.3,30.0,Grid2401,0.2464087692896525,318.93220941794357,-8.571677090708821
1118,0.3,30.0,Sobol1,0.7023954313993453,21.379196896845645,0.9480630088463068
