,ratio,rndint,dataset,degree,rmse,r2
29097,0.75,996.0,Grid2401,5.0,58.8285258381579,0.6522985570008772
29098,0.75,996.0,Sobol1,5.0,19.577004092691528,0.959943057303281
29099,0.75,996.0,Sobol2,5.0,18.71240700378758,0.9629706273707384
29100,0.75,996.0,Grid1296,6.0,3794565657.2999372,-1462804288593072.5
29101,0.75,996.0,Grid2401,6.0,187.09660326454366,-2.5169190130354324
29102,0.75,996.0,Sobol1,6.0,20.385342787008945,0.9565668454546284
29103,0.75,996.0,Sobol2,6.0,19.851100507653282,0.9583268604346468
29104,0.75,996.0,Grid1296,7.0,255.6935546126981,-5.642042385578427
29105,0.75,996.0,Grid2401,7.0,1850.1277842093336,-342.9014540266893
29106,0.75,996.0,Sobol1,7.0,28.423488564578214,0.9155615804077484
29107,0.75,996.0,Sobol2,7.0,25.521467398494504,0.9311191771566174
29108,0.75,996.0,Grid1296,8.0,238.53903411347815,-4.780707488542942
29109,0.75,996.0,Grid2401,8.0,33521.11843027588,-112892.1425575779
29110,0.75,996.0,Sobol1,8.0,321.87240285069936,-9.828114018676038
29111,0.75,996.0,Sobol2,8.0,117.96377693333146,-0.4715817136093161
29112,0.75,996.0,Grid1296,9.0,333.1222233872271,-10.273773215693785
29113,0.75,996.0,Grid2401,9.0,18547.592156802428,-34561.53885641699
29114,0.75,996.0,Sobol1,9.0,182.8892468940327,-2.4959215560356123
29115,0.75,996.0,Sobol2,9.0,111.98659280522809,-0.3262307916623355
29116,0.75,996.0,Grid1296,10.0,379.6136625587798,-13.640157552281288
29117,0.75,996.0,Grid2401,10.0,14090.0507709346,-19944.993706794496
29118,0.75,996.0,Sobol1,10.0,216.6685671507261,-3.906560503253128
29119,0.75,996.0,Sobol2,10.0,134.24355499808502,-0.9057851256590546
29120,0.75,272.0,Grid1296,1.0,75.15344041834504,0.42718489173536345
29121,0.75,272.0,Grid2401,1.0,90.20118570243582,0.18241497596407497
29122,0.75,272.0,Sobol1,1.0,73.27813545837105,0.4293633422454656
29123,0.75,272.0,Sobol2,1.0,73.66975930053202,0.4242726005784053
29124,0.75,272.0,Grid1296,2.0,46.78722427697495,0.777990636250764
29125,0.75,272.0,Grid2401,2.0,72.4298423657645,0.472838706496985
29126,0.75,272.0,Sobol1,2.0,38.716772117187645,0.8407024371968801
29127,0.75,272.0,Sobol2,2.0,39.10232732068217,0.8378027038149485
29128,0.75,272.0,Grid1296,3.0,24.448444833700552,0.9393795426816455
29129,0.75,272.0,Grid2401,3.0,52.13781849868025,0.7268418601108113
29130,0.75,272.0,Sobol1,3.0,27.93794841090383,0.9170531555355944
