,ratio,rndint,dataset,degree,prediction,target,diff
257,0.05,490.0,Grid2401,5,710.4864831516657,707.0,-3.4864831516656523
258,0.05,490.0,Sobol1,5,717.6217837434837,707.0,-10.621783743483661
259,0.05,490.0,Sobol2,5,723.822128257273,707.0,-16.822128257272993
260,0.05,490.0,Grid1296,6,-14851785.5,707.0,14852492.5
261,0.05,490.0,Grid2401,6,716.2440149227075,707.0,-9.244014922707493
262,0.05,490.0,Sobol1,6,718.6086525507807,707.0,-11.608652550780675
263,0.05,490.0,Sobol2,6,731.423170893798,707.0,-24.423170893797987
264,0.05,490.0,Grid1296,7,12450452.817266941,707.0,-12449745.817266941
265,0.05,490.0,Grid2401,7,-483729.227055192,707.0,484436.227055192
266,0.05,490.0,Sobol1,7,719.2139533382932,707.0,-12.213953338293209
267,0.05,490.0,Sobol2,7,726.502923363033,707.0,-19.502923363033005
268,0.05,490.0,Grid1296,8,20371233.75,707.0,-20370526.75
269,0.05,490.0,Grid2401,8,-1455829.3474738598,707.0,1456536.3474738598
270,0.05,490.0,Sobol1,8,715.9579351467546,707.0,-8.957935146754608
271,0.05,490.0,Sobol2,8,725.3814141108451,707.0,-18.38141411084507
272,0.05,490.0,Grid1296,9,13777580.098761559,707.0,-13776873.098761559
273,0.05,490.0,Grid2401,9,2216052.5394887924,707.0,-2215345.5394887924
274,0.05,490.0,Sobol1,9,718.0408945083618,707.0,-11.040894508361816
275,0.05,490.0,Sobol2,9,719.8161340225488,707.0,-12.816134022548795
276,0.05,490.0,Grid1296,10,-12602279.716796875,707.0,12602986.716796875
277,0.05,490.0,Grid2401,10,-133487536.7177124,707.0,133488243.7177124
278,0.05,490.0,Sobol1,10,718.078125,707.0,-11.078125
279,0.05,490.0,Sobol2,10,712.6630192399025,707.0,-5.663019239902496
280,0.05,395.0,Grid1296,1,739.8976431419594,707.0,-32.897643141959406
281,0.05,395.0,Grid2401,1,777.2422497718652,707.0,-70.2422497718652
282,0.05,395.0,Sobol1,1,678.1871849668496,707.0,28.8128150331504
283,0.05,395.0,Sobol2,1,665.2058257173046,707.0,41.794174282695394
284,0.05,395.0,Grid1296,2,750.325558494534,707.0,-43.32555849453399
285,0.05,395.0,Grid2401,2,774.8552645783327,707.0,-67.85526457833271
