,ratio,rndint,dataset,rmse,mape,r2,prediction,target,diff
598,0.15,634.0,Sobol1,71.63830143485357,0.0934873697479225,0.420889900874297,682.3753912512717,707.0,24.624608748728292
599,0.15,634.0,Sobol2,72.02368353351932,0.0940070952775329,0.4024611053248781,667.7131284949542,707.0,39.28687150504584
600,0.2,678.0,Grid1296,77.18756916151095,0.0946894370801261,0.4164118523978,738.9182226401542,707.0,-31.918222640154227
601,0.2,678.0,Grid2401,99.2671654961116,0.1146003667929476,0.0856433704427344,777.6455109625664,707.0,-70.64551096256639
602,0.2,678.0,Sobol1,71.62524339276275,0.0936898608424236,0.4264804590189486,678.0837950236497,707.0,28.916204976350286
603,0.2,678.0,Sobol2,72.32223051992008,0.0942189177693406,0.3862927420266365,665.1675924765362,707.0,41.83240752346376
604,0.2,147.0,Grid1296,78.61202460709679,0.0951628261422935,0.3989581514605018,742.8174372239594,707.0,-35.81743722395936
605,0.2,147.0,Grid2401,99.2314072027312,0.1145527729854529,0.0854535765703595,778.4839119216216,707.0,-71.4839119216216
606,0.2,147.0,Sobol1,71.87559360307168,0.0939440597586327,0.4138234528627301,676.3859549163243,707.0,30.614045083675705
607,0.2,147.0,Sobol2,72.47912697624692,0.0945994334206708,0.3900498305107924,665.7766169542055,707.0,41.22338304579455
608,0.2,561.0,Grid1296,77.32284342041666,0.0947379889288056,0.41634201674012,738.3131067569691,707.0,-31.31310675696909
609,0.2,561.0,Grid2401,99.97777297632516,0.1155051142262039,0.0726078345761701,779.5523441513091,707.0,-72.55234415130906
610,0.2,561.0,Sobol1,71.93358772884264,0.0941718407560169,0.4211626468962672,680.6210823237005,707.0,26.378917676299466
611,0.2,561.0,Sobol2,73.04371540205024,0.0952584303185538,0.3755443220779172,659.135736571395,707.0,47.864263428605
612,0.2,237.0,Grid1296,77.91655825421618,0.0948713313778412,0.4062853647832349,741.6800656908465,707.0,-34.680065690846504
613,0.2,237.0,Grid2401,100.5791926547272,0.1162573378398109,0.0640270024104554,780.1692444493222,707.0,-73.16924444932215
614,0.2,237.0,Sobol1,71.82418821746813,0.0939246060692752,0.4188825037972713,683.601829918519,707.0,23.398170081481
615,0.2,237.0,Sobol2,72.46472389105942,0.0948313945364231,0.3960555229014012,664.2654523519772,707.0,42.73454764802284
616,0.2,588.0,Grid1296,76.89092054693924,0.0950537656928742,0.4210433658630023,736.9514686337393,707.0,-29.951468633739296
617,0.2,588.0,Grid2401,99.01614860665512,0.1142925935522401,0.0924116649945502,776.7466898979034,707.0,-69.74668989790337
618,0.2,588.0,Sobol1,71.84838721080932,0.0939207804544662,0.4130930112924675,679.6424661839247,707.0,27.35753381607526
619,0.2,588.0,Sobol2,72.47269194146375,0.0944314176802987,0.3848518285040114,663.7416120018519,707.0,43.25838799814812
620,0.2,951.0,Grid1296,77.70360017070004,0.0944779718448514,0.4140281514073738,736.7737082987246,707.0,-29.773708298724614
621,0.2,951.0,Grid2401,99.735590247023,0.1153203009524975,0.0796512733899811,778.4314613969093,707.0,-71.4314613969093
622,0.2,951.0,Sobol1,71.9982418091605,0.0941848532425329,0.4241547673846781,678.2386388348489,707.0,28.76136116515113
623,0.2,951.0,Sobol2,72.28727228925662,0.0942533813717929,0.3886094745028956,666.6826011609262,707.0,40.3173988390738
624,0.2,490.0,Grid1296,77.52170819648538,0.0945831668641727,0.4124960590249866,739.4155216950617,707.0,-32.41552169506167
625,0.2,490.0,Grid2401,99.80097014162033,0.1152640010078451,0.0732098896289262,778.6315554457505,707.0,-71.63155544575045
626,0.2,490.0,Sobol1,71.46962992090143,0.0929469805501019,0.4219808769263458,679.7985837959718,707.0,27.20141620402819
627,0.2,490.0,Sobol2,73.04403545276493,0.0954703302028678,0.3808396477420321,661.6987151061477,707.0,45.30128489385231
628,0.2,395.0,Grid1296,78.06843799500025,0.094708372246614,0.4063905263029738,739.9459520847063,707.0,-32.94595208470628
629,0.2,395.0,Grid2401,98.65417652106474,0.1140769720673729,0.0945180855614356,776.9177846787012,707.0,-69.9177846787012
630,0.2,395.0,Sobol1,71.78310719029663,0.0936691635357107,0.4207302231731022,676.4278116525822,707.0,30.57218834741775
631,0.2,395.0,Sobol2,71.91901083230061,0.0939843750042951,0.4095663696191762,670.5644034241451,707.0,36.4355965758549
