,ratio,rndint,dataset,prediction,target,diff
2172,0.55,249.0,Grid1296,737.3027556140408,707.0,-30.302755614040848
2173,0.55,249.0,Grid2401,774.3913089035029,707.0,-67.39130890350293
2174,0.55,249.0,Sobol1,684.8408838972938,707.0,22.159116102706207
2175,0.55,249.0,Sobol2,664.9258916809694,707.0,42.07410831903064
2176,0.55,791.0,Grid1296,746.3591526011646,707.0,-39.359152601164624
2177,0.55,791.0,Grid2401,777.4184536249163,707.0,-70.41845362491631
2178,0.55,791.0,Sobol1,673.7467182517671,707.0,33.253281748232894
2179,0.55,791.0,Sobol2,664.8058330262775,707.0,42.19416697372253
2180,0.55,35.0,Grid1296,741.9662217082802,707.0,-34.96622170828016
2181,0.55,35.0,Grid2401,778.048518766069,707.0,-71.04851876606904
2182,0.55,35.0,Sobol1,670.5024824750055,707.0,36.497517524994464
2183,0.55,35.0,Sobol2,665.4719083792515,707.0,41.528091620748455
2184,0.55,180.0,Grid1296,740.0775670706075,707.0,-33.07756707060753
2185,0.55,180.0,Grid2401,779.8831150821279,707.0,-72.88311508212792
2186,0.55,180.0,Sobol1,671.8777341282273,707.0,35.1222658717727
2187,0.55,180.0,Sobol2,668.6966317214517,707.0,38.303368278548305
2188,0.55,510.0,Grid1296,754.168646387124,707.0,-47.168646387124
2189,0.55,510.0,Grid2401,780.5529211585815,707.0,-73.55292115858151
2190,0.55,510.0,Sobol1,682.6189055647379,707.0,24.38109443526207
2191,0.55,510.0,Sobol2,662.8473594992711,707.0,44.15264050072892
2192,0.55,593.0,Grid1296,742.3433260485749,707.0,-35.34332604857491
2193,0.55,593.0,Grid2401,779.4932941288434,707.0,-72.49329412884344
2194,0.55,593.0,Sobol1,687.3499393749617,707.0,19.65006062503835
2195,0.55,593.0,Sobol2,660.7979318083142,707.0,46.20206819168584
2196,0.55,634.0,Grid1296,734.1600023274639,707.0,-27.16000232746387
2197,0.55,634.0,Grid2401,778.2402519769641,707.0,-71.24025197696415
2198,0.55,634.0,Sobol1,686.9636763287707,707.0,20.036323671229297
2199,0.55,634.0,Sobol2,659.2850845125016,707.0,47.71491548749839
2200,0.6,678.0,Grid1296,740.8853669581143,707.0,-33.88536695811433
2201,0.6,678.0,Grid2401,783.961585951807,707.0,-76.96158595180702
2202,0.6,678.0,Sobol1,682.1242172497225,707.0,24.875782750277494
2203,0.6,678.0,Sobol2,663.1146953542495,707.0,43.885304645750466
2204,0.6,147.0,Grid1296,742.6292777537004,707.0,-35.62927775370042
2205,0.6,147.0,Grid2401,775.3959621698119,707.0,-68.39596216981192
2206,0.6,147.0,Sobol1,676.9335596891466,707.0,30.06644031085341
2207,0.6,147.0,Sobol2,663.6385033318752,707.0,43.3614966681248
2208,0.6,561.0,Grid1296,741.2450526781633,707.0,-34.24505267816335
2209,0.6,561.0,Grid2401,780.3096236312633,707.0,-73.30962363126332
2210,0.6,561.0,Sobol1,676.4836655475434,707.0,30.51633445245659
2211,0.6,561.0,Sobol2,652.9765508276892,707.0,54.02344917231085
2212,0.6,237.0,Grid1296,750.9305343572989,707.0,-43.93053435729894
2213,0.6,237.0,Grid2401,782.679604173406,707.0,-75.679604173406
2214,0.6,237.0,Sobol1,689.2545249158634,707.0,17.745475084136615
2215,0.6,237.0,Sobol2,663.9546630269069,707.0,43.04533697309307
2216,0.6,588.0,Grid1296,730.4340544593684,707.0,-23.43405445936844
2217,0.6,588.0,Grid2401,779.3177796057664,707.0,-72.31777960576642
2218,0.6,588.0,Sobol1,680.4579120466584,707.0,26.542087953341593
2219,0.6,588.0,Sobol2,663.2639601260876,707.0,43.73603987391243
2220,0.6,951.0,Grid1296,732.0412853679837,707.0,-25.041285367983733
2221,0.6,951.0,Grid2401,776.0870555871813,707.0,-69.08705558718134
2222,0.6,951.0,Sobol1,678.4548324574885,707.0,28.545167542511535
2223,0.6,951.0,Sobol2,669.9050249580621,707.0,37.094975041937914
2224,0.6,490.0,Grid1296,740.210163247076,707.0,-33.210163247076025
2225,0.6,490.0,Grid2401,778.6604757077127,707.0,-71.66047570771275
2226,0.6,490.0,Sobol1,670.1456418915643,707.0,36.85435810843569
2227,0.6,490.0,Sobol2,655.5990817791351,707.0,51.400918220864924
2228,0.6,395.0,Grid1296,741.2383517537799,707.0,-34.23835175377985
2229,0.6,395.0,Grid2401,779.006256096498,707.0,-72.00625609649796
2230,0.6,395.0,Sobol1,672.2024655243647,707.0,34.7975344756353
2231,0.6,395.0,Sobol2,668.2184958393022,707.0,38.78150416069775
2232,0.6,877.0,Grid1296,741.9926568485561,707.0,-34.99265684855607
2233,0.6,877.0,Grid2401,781.7503228000816,707.0,-74.75032280008156
2234,0.6,877.0,Sobol1,682.810418754926,707.0,24.18958124507401
2235,0.6,877.0,Sobol2,668.3705110688225,707.0,38.62948893117755
2236,0.6,297.0,Grid1296,738.2207109847071,707.0,-31.220710984707125
2237,0.6,297.0,Grid2401,773.8304146385377,707.0,-66.83041463853772
2238,0.6,297.0,Sobol1,685.1848768009049,707.0,21.81512319909507
2239,0.6,297.0,Sobol2,656.5667528385977,707.0,50.43324716140228
2240,0.6,721.0,Grid1296,741.5265056307796,707.0,-34.52650563077964
2241,0.6,721.0,Grid2401,772.7627377370846,707.0,-65.76273773708465
