,ratio,rndint,dataset,kernel,prediction,std dev.,target,diff
6014,0.4,678.0,Sobol2,RQ,702.8887986924615,0.5016670491128811,707.0,4.111201307538522
6015,0.4,678.0,Sobol2,ESS,3.1858940085093675e-113,1.0,707.0,707.0
6016,0.4,986.0,Grid1296,RBF,3.205413151933486e-147,1.0,707.0,707.0
6017,0.4,986.0,Grid1296,Matern,714.870710090139,0.4161380816795357,707.0,-7.870710090139028
6018,0.4,986.0,Grid1296,RQ,715.9288104428829,0.6641277882631261,707.0,-8.928810442882877
6019,0.4,986.0,Grid1296,ESS,441.9847575918038,0.8673472751523851,707.0,265.0152424081962
6020,0.4,986.0,Grid2401,RBF,6.492662576014166e-38,1.0,707.0,707.0
6021,0.4,986.0,Grid2401,Matern,701.1795816637264,0.36439847823582505,707.0,5.820418336273633
6022,0.4,986.0,Grid2401,RQ,746.3136549281651,0.6721922905782615,707.0,-39.31365492816508
6023,0.4,986.0,Grid2401,ESS,615.8659900113465,0.5895228303602887,707.0,91.13400998865347
6024,0.4,986.0,Sobol1,RBF,1.662751963336729e-30,1.0,707.0,707.0
6025,0.4,986.0,Sobol1,Matern,722.6792823866351,0.15702342661095522,707.0,-15.679282386635123
6026,0.4,986.0,Sobol1,RQ,717.471879595895,0.41874740513564146,707.0,-10.471879595894961
6027,0.4,986.0,Sobol1,ESS,724.0661126152645,0.06411288075318532,707.0,-17.0661126152645
6028,0.4,986.0,Sobol2,RBF,724.6430935061851,0.07668419517278798,707.0,-17.643093506185096
6029,0.4,986.0,Sobol2,Matern,719.5921981110014,0.20790576862395638,707.0,-12.59219811100138
6030,0.4,986.0,Sobol2,RQ,702.5540347510655,0.5163797662344614,707.0,4.445965248934499
6031,0.4,986.0,Sobol2,ESS,724.1189411940786,0.07227160764343232,707.0,-17.118941194078616
6032,0.4,669.0,Grid1296,RBF,410.5051049934966,0.8885118814173439,707.0,296.4948950065034
6033,0.4,669.0,Grid1296,Matern,716.9416624335918,0.42100789367267705,707.0,-9.941662433591773
6034,0.4,669.0,Grid1296,RQ,714.463782695968,0.6638008037152566,707.0,-7.463782695968007
6035,0.4,669.0,Grid1296,ESS,424.3013023895778,0.8818694794735048,707.0,282.6986976104222
6036,0.4,669.0,Grid2401,RBF,558.4437098088614,0.6704170918160889,707.0,148.5562901911386
6037,0.4,669.0,Grid2401,Matern,695.5460557076213,0.40469653597795036,707.0,11.453944292378651
6038,0.4,669.0,Grid2401,RQ,745.1977746923164,0.6883020199969754,707.0,-38.19777469231644
6039,0.4,669.0,Grid2401,ESS,0.0,1.0,707.0,707.0
6040,0.4,669.0,Sobol1,RBF,720.2374358304348,0.06873991060519952,707.0,-13.237435830434833
6041,0.4,669.0,Sobol1,Matern,716.3513703315057,0.17567670550603648,707.0,-9.351370331505677
6042,0.4,669.0,Sobol1,RQ,710.9098401347634,0.4297428728333602,707.0,-3.9098401347633853
6043,0.4,669.0,Sobol1,ESS,721.2135096840902,0.06233159170492429,707.0,-14.21350968409024
6044,0.4,669.0,Sobol2,RBF,728.6561660633566,0.15580243106600875,707.0,-21.656166063356636
6045,0.4,669.0,Sobol2,Matern,714.595692082821,0.25833173864652886,707.0,-7.59569208282096
6046,0.4,669.0,Sobol2,RQ,691.2099198911964,0.5571261447480287,707.0,15.790080108803636
6047,0.4,669.0,Sobol2,ESS,727.7420107144732,0.14275968807162212,707.0,-20.742010714473167
6048,0.4,968.0,Grid1296,RBF,420.40063810798074,0.8792716935866373,707.0,286.59936189201926
6049,0.4,968.0,Grid1296,Matern,710.4859136347568,0.4233597140163088,707.0,-3.4859136347567983
6050,0.4,968.0,Grid1296,RQ,711.144630996257,0.670754403139484,707.0,-4.1446309962569785
6051,0.4,968.0,Grid1296,ESS,4.630103903070273e-09,1.0,707.0,706.9999999953699
6052,0.4,968.0,Grid2401,RBF,608.7064337754342,0.6047564620183608,707.0,98.29356622456578
6053,0.4,968.0,Grid2401,Matern,705.8342246340392,0.39173243518869244,707.0,1.165775365960826
