,ratio,rndint,dataset,#trees,rmse,mape,r2
6397,0.3,669.0,Grid2401,500.0,80.58208664625049,0.08301211745509762,0.3895757524837459
6398,0.3,669.0,Sobol1,500.0,20.60152062632674,0.01739726277217046,0.9528236815084228
6399,0.3,669.0,Sobol2,500.0,18.573466636257706,0.016132201427570183,0.960821947265928
6400,0.3,669.0,Grid1296,750.0,38.97903315126097,0.04229962143345324,0.850720039101812
6401,0.3,669.0,Grid2401,750.0,80.6097860386606,0.08303396309033081,0.3891560242903732
6402,0.3,669.0,Sobol1,750.0,20.628993153253557,0.017417852486158764,0.9526977765464278
6403,0.3,669.0,Sobol2,750.0,18.526915959382425,0.01607349165525061,0.961018085063817
6404,0.3,669.0,Grid1296,1000.0,38.98704718745196,0.042307817076077725,0.8506586492778516
6405,0.3,669.0,Grid2401,1000.0,80.59216299523007,0.08301548155674761,0.3894230825154066
6406,0.3,669.0,Sobol1,1000.0,20.610239994949914,0.01740718728844923,0.9527837393344554
6407,0.3,669.0,Sobol2,1000.0,18.47572656557319,0.01605626628174917,0.9612331995379414
6408,0.3,530.0,Grid1296,10.0,40.4896322853733,0.04337087429073941,0.8392761244356538
6409,0.3,530.0,Grid2401,10.0,81.26631920700297,0.08395903993767688,0.3799746355903284
6410,0.3,530.0,Sobol1,10.0,21.02869254516462,0.017852845876162076,0.9499260838304103
6411,0.3,530.0,Sobol2,10.0,17.932591589198495,0.01597175168121703,0.9633492924689948
6412,0.3,530.0,Grid1296,100.0,39.66718643654785,0.04274176765867362,0.8457392190874244
6413,0.3,530.0,Grid2401,100.0,81.11523486637157,0.08371014849948337,0.38227790332544176
6414,0.3,530.0,Sobol1,100.0,20.36189576599741,0.016920895708602023,0.9530513147183378
6415,0.3,530.0,Sobol2,100.0,17.617807070701403,0.01528832705196785,0.9646247150095618
6416,0.3,530.0,Grid1296,250.0,39.55904086567362,0.04265572898430775,0.8465792019853612
6417,0.3,530.0,Grid2401,250.0,81.1240652234478,0.08367984152775867,0.38214340322564366
6418,0.3,530.0,Sobol1,250.0,20.358897804344664,0.016866648690211837,0.9530651385781714
6419,0.3,530.0,Sobol2,250.0,17.49103163183059,0.015145194007576575,0.9651319951201885
6420,0.3,530.0,Grid1296,500.0,39.482501280463,0.042605474342378755,0.847172310611057
6421,0.3,530.0,Grid2401,500.0,81.26104957466937,0.08382948939955664,0.38005504281947977
6422,0.3,530.0,Sobol1,500.0,20.353158006756853,0.016872214462557007,0.9530915996009027
6423,0.3,530.0,Sobol2,500.0,17.54807435237175,0.015176214019271418,0.9649041973363989
6424,0.3,530.0,Grid1296,750.0,39.42692672082685,0.0425674005030867,0.8476022405174487
6425,0.3,530.0,Grid2401,750.0,81.2479451352845,0.08380302293220313,0.38025497565571786
6426,0.3,530.0,Sobol1,750.0,20.351705220777085,0.01686879574646599,0.9530982959017176
6427,0.3,530.0,Sobol2,750.0,17.47872557361643,0.015154132803380604,0.9651810415985881
6428,0.3,530.0,Grid1296,1000.0,39.42374129642256,0.04256756454425841,0.8476268649034719
6429,0.3,530.0,Grid2401,1000.0,81.25648281142975,0.0838169370681015,0.38012472103069284
6430,0.3,530.0,Sobol1,1000.0,20.33601344313421,0.016854610764869254,0.9531705932719728
6431,0.3,530.0,Sobol2,1000.0,17.469195692629647,0.015153231568775674,0.9652189997517064
6432,0.3,999.0,Grid1296,10.0,38.957828667778806,0.042414600077302626,0.8509157920121673
6433,0.3,999.0,Grid2401,10.0,81.11415799788519,0.0837158897141389,0.3789240691182467
6434,0.3,999.0,Sobol1,10.0,21.52536762366766,0.017945558663435897,0.947285107533822
6435,0.3,999.0,Sobol2,10.0,19.300966810262114,0.01775815699671968,0.9579285072162321
6436,0.3,999.0,Grid1296,100.0,39.25975462460799,0.042547236403511,0.8485960109402567
6437,0.3,999.0,Grid2401,100.0,80.39102416854331,0.08301383610977174,0.3899485084329549
6438,0.3,999.0,Sobol1,100.0,20.361633071685276,0.01690506128331761,0.9528309223437211
6439,0.3,999.0,Sobol2,100.0,18.249540949906272,0.016397267705970366,0.96238737159037
6440,0.3,999.0,Grid1296,250.0,39.219527537883046,0.042520877061595484,0.8489061209321627
6441,0.3,999.0,Grid2401,250.0,80.23799084241001,0.08285669852775251,0.392268900564386
6442,0.3,999.0,Sobol1,250.0,20.337185355492522,0.016883154117417976,0.9529441238658461
6443,0.3,999.0,Sobol2,250.0,18.060146131188265,0.016252889431793514,0.9631640127338599
6444,0.3,999.0,Grid1296,500.0,39.22661479282242,0.042523151867615835,0.8488515084642242
6445,0.3,999.0,Grid2401,500.0,80.25121051941792,0.08288824094402204,0.3920686295809589
6446,0.3,999.0,Sobol1,500.0,20.301679442469666,0.01686830399290706,0.9531082865418994
6447,0.3,999.0,Sobol2,500.0,18.023126239404174,0.016209664018874047,0.9633148716056812
6448,0.3,999.0,Grid1296,750.0,39.23329763970588,0.04254022617524141,0.8488000032158601
6449,0.3,999.0,Grid2401,750.0,80.22926623571311,0.08285585043109563,0.39240105558219174
6450,0.3,999.0,Sobol1,750.0,20.336746192312756,0.016921026754936848,0.9529461561023337
6451,0.3,999.0,Sobol2,750.0,18.065291161722126,0.016219670010847717,0.9631430218433433
6452,0.3,999.0,Grid1296,1000.0,39.17055274868612,0.04249636096416652,0.8492832376978314
6453,0.3,999.0,Grid2401,1000.0,80.20801034559912,0.0828381328265601,0.3927229666789387
6454,0.3,999.0,Sobol1,1000.0,20.38652430679105,0.016965899164508507,0.9527155274498791
6455,0.3,999.0,Sobol2,1000.0,18.034128596028193,0.016186154901250693,0.9632700684946807
6456,0.3,794.0,Grid1296,10.0,39.80960042490186,0.043077661188417486,0.8441712085438247
6457,0.3,794.0,Grid2401,10.0,80.30983279461783,0.08268561627299777,0.3904283111065705
6458,0.3,794.0,Sobol1,10.0,21.577239109544603,0.018679576376146825,0.9480157458985986
6459,0.3,794.0,Sobol2,10.0,18.859381091197854,0.01731420906526043,0.9597303442944086
6460,0.3,794.0,Grid1296,100.0,39.16463807810867,0.042537510795938,0.8491795262800447
6461,0.3,794.0,Grid2401,100.0,80.0752665279302,0.08249487903281973,0.3939839440232977
6462,0.3,794.0,Sobol1,100.0,21.28298799744086,0.01796524296622798,0.9494239079917185
6463,0.3,794.0,Sobol2,100.0,17.948632581425922,0.016230516130064588,0.963525799713556
6464,0.3,794.0,Grid1296,250.0,39.15065925065381,0.04253436985267281,0.8492871701767444
6465,0.3,794.0,Grid2401,250.0,79.97313659956251,0.08237596411614086,0.3955288132333019
6466,0.3,794.0,Sobol1,250.0,21.273882816355023,0.017995645232568736,0.9494671731545845
6467,0.3,794.0,Sobol2,250.0,17.68491288911427,0.01594284938644117,0.9645897580949905
6468,0.3,794.0,Grid1296,500.0,39.20644307254224,0.042576697316855656,0.8488573778098077
6469,0.3,794.0,Grid2401,500.0,80.04488741026597,0.08245292266952346,0.39444368000953145
6470,0.3,794.0,Sobol1,500.0,21.245212618356472,0.017908598595607908,0.9496032846411371
6471,0.3,794.0,Sobol2,500.0,17.657998406243355,0.015899932944699935,0.9646974570288841
6472,0.3,794.0,Grid1296,750.0,39.16392653708452,0.04253452596384898,0.8491850064266644
6473,0.3,794.0,Grid2401,750.0,80.01679416624165,0.08242521438757174,0.3948686679549671
