,ratio,rndint,dataset,kernel,time [hrs],rmse,r2
9305,0.6,930.0,Sobol1,Matern,0.0005138605833053589,21.944866670296424,0.9485403453077963
9306,0.6,930.0,Sobol1,RQ,0.0027185669872495863,25.707984204753483,0.9293784860796529
9307,0.6,930.0,Sobol1,ESS,0.003592854804462857,679.3988060700478,-48.32311915175522
9308,0.6,930.0,Sobol2,RBF,0.0002985774146185981,29.29478101784035,0.9060684096297718
9309,0.6,930.0,Sobol2,Matern,0.00027086449993981253,23.160173358891342,0.9412896356841882
9310,0.6,930.0,Sobol2,RQ,0.0021919055779774984,26.57364654394826,0.9227081910138739
9311,0.6,930.0,Sobol2,ESS,0.0012483101420932346,672.706141111716,-48.53155338431511
9312,0.6,996.0,Grid1296,RBF,0.0002300490935643514,155.53327246940032,-1.4270385518881317
9313,0.6,996.0,Grid1296,Matern,0.0002453674210442437,57.26347283516597,0.6710079365501505
9314,0.6,996.0,Grid1296,RQ,0.0015107185310787624,55.26256348422367,0.6935976379582018
9315,0.6,996.0,Grid1296,ESS,0.00015481505129072402,605.2686690990366,-35.75584766865544
9316,0.6,996.0,Grid2401,RBF,0.0007940487729178534,236.81024836490135,-4.52903466538423
9317,0.6,996.0,Grid2401,Matern,0.00084646827644772,44.876520778518326,0.8014423223012905
9318,0.6,996.0,Grid2401,RQ,0.004179751608106825,84.878437825591,0.28969792731851984
9319,0.6,996.0,Grid2401,ESS,0.00018867135047912598,586.9857187769474,-32.9706139909746
9320,0.6,996.0,Sobol1,RBF,0.0009387517637676663,30.560348529423347,0.9007512627221812
9321,0.6,996.0,Sobol1,Matern,0.0010110599464840358,22.262589678542316,0.9473304329957919
9322,0.6,996.0,Sobol1,RQ,0.005238127907117208,25.718047270773457,0.9297114855317539
9323,0.6,996.0,Sobol1,ESS,0.0007677435874938965,678.7231720438785,-47.95462603119634
9324,0.6,996.0,Sobol2,RBF,0.0005386593606736924,26.80689770166504,0.9225520146824723
9325,0.6,996.0,Sobol2,Matern,0.0004766470856136746,22.213697972448504,0.9468187261040645
9326,0.6,996.0,Sobol2,RQ,0.003118577930662367,25.7812388583708,0.9283651137143365
9327,0.6,996.0,Sobol2,ESS,0.0005803315507041083,680.283715416853,-48.876636745148204
9328,0.6,272.0,Grid1296,RBF,0.00024502409829033745,168.34099779953004,-1.8510942310827505
9329,0.6,272.0,Grid1296,Matern,0.0003236746788024902,56.60311013309216,0.677661361818781
9330,0.6,272.0,Grid1296,RQ,0.0014988656176461114,55.45693911124846,0.6905834294724382
9331,0.6,272.0,Grid1296,ESS,6.38800859451294e-05,679.25585400838,-45.41929681631523
9332,0.6,272.0,Grid2401,RBF,0.0011495857106314765,319.64817756981955,-9.043054024110397
9333,0.6,272.0,Grid2401,Matern,0.0010412049955791896,38.52554287337301,0.8541122360432847
9334,0.6,272.0,Grid2401,RQ,0.0050492278734842935,82.92432913733914,0.32409561039712187
9335,0.6,272.0,Grid2401,ESS,0.0001519984006881714,676.6671266940757,-44.006111351757106
9336,0.6,272.0,Sobol1,RBF,0.0006382595830493503,28.415074097566336,0.9131503318307979
9337,0.6,272.0,Sobol1,Matern,0.000998474359512329,21.83353868469061,0.948723445227126
9338,0.6,272.0,Sobol1,RQ,0.004885356293784247,25.087730013970134,0.9322992761307408
9339,0.6,272.0,Sobol1,ESS,0.0004476424058278402,28.415048311666936,0.913150489458104
9340,0.6,272.0,Sobol2,RBF,0.0005236575338575575,25.295228410634596,0.9306028853070089
9341,0.6,272.0,Sobol2,Matern,0.0005720364385181004,21.984795377107837,0.9475785464268108
9342,0.6,272.0,Sobol2,RQ,0.0030681655142042372,26.76021220104154,0.9223317876272735
9343,0.6,272.0,Sobol2,ESS,0.00013480716281467014,679.918561250904,-49.13926901520183
9344,0.6,390.0,Grid1296,RBF,0.00011786070134904649,189.4988726543303,-2.620413990728441
9345,0.6,390.0,Grid1296,Matern,0.0002386140823364258,56.59919387460199,0.6770275599442628
9346,0.6,390.0,Grid1296,RQ,0.0017674987845950657,53.722234514111975,0.7090267198452207
9347,0.6,390.0,Grid1296,ESS,0.0002490386035707262,189.49886830611925,-2.6204138245815534
9348,0.6,390.0,Grid2401,RBF,0.00043133060137430827,379.513854632968,-13.186260920133789
9349,0.6,390.0,Grid2401,Matern,0.0007702965868843926,38.452821859603155,0.8543638782256909
9350,0.6,390.0,Grid2401,RQ,0.004977958533498976,83.32070193714365,0.31621666294409956
9351,0.6,390.0,Grid2401,ESS,0.0007715232504738701,379.5138499565784,-13.186260570526088
9352,0.6,390.0,Sobol1,RBF,0.0004938511715994941,30.528298410248762,0.9000402045686061
9353,0.6,390.0,Sobol1,Matern,0.0009831310643090142,21.172218780850905,0.9519212787310408
9354,0.6,390.0,Sobol1,RQ,0.006399269368913439,23.942565424017168,0.9385160829641098
9355,0.6,390.0,Sobol1,ESS,0.004606329666243659,30.528297575890193,0.9000402100325406
9356,0.6,390.0,Sobol2,RBF,0.0002669374148050944,28.196734353691834,0.9142064015832558
9357,0.6,390.0,Sobol2,Matern,0.0004203000995847914,21.67907416012513,0.9492847325417746
9358,0.6,390.0,Sobol2,RQ,0.003685148821936713,26.855635699802967,0.9221733866882591
9359,0.6,390.0,Sobol2,ESS,0.0012948943508995904,28.196731870786625,0.91420641669262
9360,0.6,759.0,Grid1296,RBF,8.822825219896105e-05,679.3988480248676,-45.48642381217633
9361,0.6,759.0,Grid1296,Matern,0.00013557374477386476,55.32742934704552,0.6917113687761897
9362,0.6,759.0,Grid1296,RQ,0.001463898950152927,53.45862193994357,0.7121859149775713
9363,0.6,759.0,Grid1296,ESS,0.00019893765449523925,84.94168778843137,0.27336167960822866
9364,0.6,759.0,Grid2401,RBF,0.0002938369247648451,676.5401615053489,-44.05661494677378
9365,0.6,759.0,Grid2401,Matern,0.0003248584270477295,676.5401615053489,-44.05661494677378
9366,0.6,759.0,Grid2401,RQ,0.004627010160022311,81.39268833137508,0.34785798469377527
9367,0.6,759.0,Grid2401,ESS,0.00030321346388922796,303.5470184276553,-8.070335217841865
9368,0.6,759.0,Sobol1,RBF,0.00036038458347320557,681.0411403344758,-49.05236488344304
9369,0.6,759.0,Sobol1,Matern,0.0005215244160758125,21.360765726258407,0.9507607373688282
9370,0.6,759.0,Sobol1,RQ,0.00712330076429579,24.96327894883377,0.9327517222744743
9371,0.6,759.0,Sobol1,ESS,0.0024595686462190415,26.04980128761363,0.9267703874492519
9372,0.6,759.0,Sobol2,RBF,0.00020235896110534668,680.5472104136696,-48.37798040017136
9373,0.6,759.0,Sobol2,Matern,0.00023372769355773927,22.211522346055247,0.9474014880684052
9374,0.6,759.0,Sobol2,RQ,0.0034081749783621894,27.489902277805825,0.9194318857743005
9375,0.6,759.0,Sobol2,ESS,0.0010461618502934774,27.121297109751453,0.9215780351257119
9376,0.6,35.0,Grid1296,RBF,0.0002474032508002387,158.64227633869785,-1.5384842384285888
9377,0.6,35.0,Grid1296,Matern,0.0002910054392284817,54.81309258903483,0.6969563297002834
9378,0.6,35.0,Grid1296,RQ,0.0010244234402974446,53.37165519792458,0.7126852324016035
9379,0.6,35.0,Grid1296,ESS,0.00011739816930558946,593.2127692192054,-34.49421594364113
9380,0.6,35.0,Grid2401,RBF,0.0007726040151384142,266.74064237393736,-6.0330457150852626
9381,0.6,35.0,Grid2401,Matern,0.0011758055951860216,38.991674863733294,0.8497173530316048
9382,0.6,35.0,Grid2401,RQ,0.002742176188362969,82.8592807605363,0.32134762497013547
9383,0.6,35.0,Grid2401,ESS,0.0001972508430480957,74.1185329499305,0.45697642557367646
9384,0.6,35.0,Sobol1,RBF,0.0008002291785346137,29.88867295673413,0.903802093595411
9385,0.6,35.0,Sobol1,Matern,0.0011100869046317206,22.69206067600996,0.9445501690160408
9386,0.6,35.0,Sobol1,RQ,0.0039026152425342135,24.925776539685373,0.9330963596914882
9387,0.6,35.0,Sobol1,ESS,0.0019864607519573634,679.2293224107113,-48.68041405920041
9388,0.6,35.0,Sobol2,RBF,0.0005073629485236274,29.486261100229022,0.9072311319575376
9389,0.6,35.0,Sobol2,Matern,0.0005091520812776354,22.913062134983985,0.9439818052261577
9390,0.6,35.0,Sobol2,RQ,0.0019109053744210138,27.350092810226464,0.9201857471608644
9391,0.6,35.0,Sobol2,ESS,0.0008849991030163235,677.6674663297931,-48.00000410672536
9392,0.6,582.0,Grid1296,RBF,0.00019268896844651964,186.3198799383411,-2.491514934433863
9393,0.6,582.0,Grid1296,Matern,0.00023274593883090548,57.51665048594331,0.66727710501234
9394,0.6,582.0,Grid1296,RQ,0.001555937065018548,55.350206051134,0.6918699910331386
9395,0.6,582.0,Grid1296,ESS,7.728146182166206e-05,46.307658203395086,0.7843243324738762
9396,0.6,582.0,Grid2401,RBF,0.0005942479107115004,367.98685823462387,-12.358993383480215
9397,0.6,582.0,Grid2401,Matern,0.0005760891569985283,35.94697188189287,0.8725224405545464
9398,0.6,582.0,Grid2401,RQ,0.0040642748276392615,84.20188341164541,0.30055635589288776
9399,0.6,582.0,Grid2401,ESS,0.0001689967181947496,78.17627801834077,0.3970808253356609
9400,0.6,582.0,Sobol1,RBF,0.0006499612993664212,26.116740400493423,0.9263883149954654
9401,0.6,582.0,Sobol1,Matern,0.0007598527272542318,21.012415909035617,0.952350231889108
9402,0.6,582.0,Sobol1,RQ,0.004843382173114353,23.87279234695628,0.9384943155930505
9403,0.6,582.0,Sobol1,ESS,0.00204029467370775,679.5430366325298,-48.835950724683535
9404,0.6,582.0,Sobol2,RBF,0.00037562178240882027,34.05677375184426,0.8744480500466756
9405,0.6,582.0,Sobol2,Matern,0.0003331185049480862,22.820611064767476,0.9436270201175816
9406,0.6,582.0,Sobol2,RQ,0.0029432491461435953,27.936218964474865,0.9155204278301218
9407,0.6,582.0,Sobol2,ESS,0.0007732942369249132,680.199557615245,-49.08286259887481
9408,0.6,928.0,Grid1296,RBF,0.00018378198146820068,192.4396164693064,-2.7053829150918345
9409,0.6,928.0,Grid1296,Matern,0.00018895374404059517,55.653797056735634,0.6900913277420267
9410,0.6,928.0,Grid1296,RQ,0.0015820291969511245,58.17014511101724,0.6614331571511236
